Id,Name,Address,Postcode,Latitude,Longitude
1,Medivet Islington Cross St,"60 Cross St, London N1 2BA",N1,51.5395657748803,-0.101920851619648
2,The Finchley Vet,"599 High Rd, London N12 0DY",N2,51.6085744311475,-0.175387379043853
3,Two by Two Veterinary Centre,"178-180 Long Ln, London N3 2RA",N3,51.5997402248134,-0.181659613491675
4,Medivet Finsbury Park,"106 Blackstock Rd, Finsbury Park, London N4 2DR",N4,51.5619790744839,-0.100376162675294
5,Village Vet Highbury,"209 Blackstock Rd, London N5 2LL",N5,51.5598804547314,-0.0984508
6,Highgate Veterinary Clinic,"21 Pond Square, London N6 6BA",N6,51.5710548026602,-0.149790144180541
7,Finsbury Park Animal Hospital,"22 Sonderburg Rd, Finsbury Park, London N7 7QD",N7,51.5623571651425,-0.111893215344433
8,Hill's Veterinary Practice Ltd,"178 Park Rd, London N8 8JT",N8,51.5838016329989,-0.129660415344433
9,Village Vet Winchmore Hill,"2 Station Rd, London N21 3RB",N9,51.6320868971247,-0.0950939609830265
10,Medivet Muswell Hill,"133 Colney Hatch Ln, London N10 1HD",N10,51.6009560357627,-0.148208941865552
11,Vets4Pets - Friern Barnet,"Inside Pets at Home, Friern Bridge Retail Park, Pegasus Way, London N11 3PW",N11,51.6116333437899,-0.142392371163892
12,The Finchley Vet,"599 High Rd, London N12 0DY",N12,51.608584279666,-0.17538860129623
13,Village Vet Palmers Green,"88 Aldermans Hill, London N13 4PP",N13,51.6194782587071,-0.114007126114498
14,Village Vet Southgate,"32-34 Cannon Hill, London N14 6LG",N14,51.6238606678812,-0.122858132698542
15,Medivet West Green,"326 Philip Ln, London N15 4AB",N15,51.5871922647686,-0.0865763416906674
16,Medivet Stoke Newington,"72 Green Lanes, Newington Green, London N16 9EJ",N16,51.5538514887264,-0.0883439619715139
17,"Goddard Veterinary Group, Tottenham","17 Bruce Grove, London N17 6RG",N17,51.5959431610086,-0.0723719632283971
18,Village Vet Winchmore Hill,"2 Station Rd, London N21 3RB",N18,51.6320868971247,-0.0950939609830265
19,Hornsey Vets and Cattery,"496 Hornsey Rd, Finsbury Park, London N19 4EF",N19,51.5676753070056,-0.122417633505364
20,The Vet Whetstone,"247 Oakleigh Rd N, London N20 0TX",N20,51.6263563575395,-0.159679486508325
21,Village Vet Winchmore Hill,"2 Station Rd, London N21 3RB",N21,51.6320868971247,-0.0950939609830265
22,,,N22,,
23,Village Vet Primrose Hill,"138 Gloucester Ave., London NW1 8JA",NW1,51.5422856816499,-0.154883271163892
24,All Pets Veterinary Clinic,"7 Sidmouth Rd, London NW2 5HG",NW2,51.5427259326749,-0.225081360306784
25,Village Vet Hampstead,"11 Belsize Terrace, Belsize Park, London NW3 4AX",NW3,51.5492260822096,-0.171008555819459
26,Medivet 24 Hour Hendon,"89-91 Watford Way, London NW4 4RS",NW4,51.5864263245772,-0.232077457672216
27,Village Vet Highgate,"65, 67 Chetwynd Rd, London NW5 1BX",NW5,51.5582748767895,-0.143467951503979
28,Village Vet West Hampstead,"292 W End Ln, London NW6 1LN",NW6,51.5519476269522,-0.189709519464945
29,Holders Hill Veterinary Surgery,"144 Holders Hill Rd, London NW7 1LY",NW7,51.6014845756823,-0.208914815344433
30,Village Vet St Johns Wood,"110 Boundary Rd, London NW8 0RH",NW8,51.5375557235297,-0.185345571163892
31,Medivet Kingsbury,"450 Church Ln, Kingsbury Green, London NW9 8AB",NW9,51.5805583004214,-0.262366706015008
32,"Roundwood vets


","Roundwood Vets, 176 Church Rd, London NW10 9NP",NW10,51.5504443073595,-0.2496070880267
33,Medivet Hampstead Garden Suburb,"22-24, The, Market Pl, Falloden Wy, London NW11 6JJ",NW11,51.5858423216899,-0.182533169311134